IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.229.143,4,4,0.00,89.01,14.45,NRT
104.17.76.68,4,4,0.00,145.23,12.57,SJC
141.101.120.15,4,4,0.00,151.63,10.26,SJC
141.101.123.242,4,4,0.00,143.33,6.08,SJC
173.245.49.106,4,4,0.00,143.81,5.89,SJC
104.16.117.153,4,4,0.00,151.00,5.49,LAX
162.159.243.8,4,4,0.00,150.00,3.47,LAX
104.16.254.142,4,4,0.00,149.46,3.18,SJC
104.16.207.133,4,4,0.00,149.92,1.28,SJC
104.16.220.120,4,4,0.00,149.73,1.16,SJC
104.16.116.217,4,2,0.50,185.55,0.01,LAX
104.21.196.74,4,2,0.50,192.63,0.01,AMS
188.114.99.239,4,2,0.50,197.86,0.01,AMS
